,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
0,0,7,3,5,7,5,4,17,14,8,5,15,9,3,4,5,4,7,1,11,9,1,13,7,8,15,3,1,9,13
1,7,0,2,1,10,7,7,10,6,4,5,4,3,7,5,7,2,4,2,3,12,2,3,12,4,6,0,2,5,5
2,3,2,0,3,4,2,3,2,7,2,1,4,5,3,5,6,1,5,4,4,7,3,3,4,3,4,3,0,1,3
3,5,1,3,0,9,4,4,4,10,9,4,7,7,1,2,4,4,3,4,9,13,5,7,8,10,10,9,5,5,7
4,7,10,4,9,0,5,4,5,5,8,3,10,9,3,7,11,3,5,1,5,7,8,10,11,11,4,4,2,6,4
5,5,7,2,4,5,0,7,5,6,8,7,4,4,3,4,5,5,5,2,9,5,4,5,4,4,2,1,4,5,6
6,4,7,3,4,4,7,0,9,3,5,5,8,4,2,3,10,4,7,0,5,13,11,8,2,11,5,3,2,8,9
7,17,10,2,4,5,5,9,0,3,6,2,9,7,3,2,11,2,4,1,9,9,5,8,12,8,10,4,5,6,8
8,14,6,7,10,5,6,3,3,0,2,4,4,3,1,4,5,5,8,3,7,7,3,11,4,8,6,5,3,7,5
9,8,4,2,9,8,8,5,6,2,0,5,8,5,13,3,9,9,9,6,9,6,5,9,6,13,10,4,5,3,5
10,5,5,1,4,3,7,5,2,4,5,0,4,4,0,2,4,2,5,3,4,5,0,7,6,10,6,2,4,2,1
11,15,4,4,7,10,4,8,9,4,8,4,0,6,3,2,9,4,6,6,7,9,5,13,5,6,2,0,1,2,10
12,9,3,5,7,9,4,4,7,3,5,4,6,0,3,3,6,0,6,1,7,4,3,4,10,2,4,5,1,6,7
13,3,7,3,1,3,3,2,3,1,13,0,3,3,0,6,2,5,1,4,2,4,9,3,5,4,5,2,3,4,4
14,4,5,5,2,7,4,3,2,4,3,2,2,3,6,0,1,6,1,5,1,4,2,3,5,3,5,0,4,1,1
15,5,7,6,4,11,5,10,11,5,9,4,9,6,2,1,0,6,8,3,1,11,8,8,9,5,8,6,4,2,5
16,4,2,1,4,3,5,4,2,5,9,2,4,0,5,6,6,0,4,3,6,6,0,9,4,5,2,1,1,5,2
17,7,4,5,3,5,5,7,4,8,9,5,6,6,1,1,8,4,0,4,4,5,3,14,3,8,7,4,4,4,6
18,1,2,4,4,1,2,0,1,3,6,3,6,1,4,5,3,3,4,0,1,4,2,6,3,3,4,0,3,3,5
19,11,3,4,9,5,9,5,9,7,9,4,7,7,2,1,1,6,4,1,0,10,3,6,7,6,8,4,7,4,7
20,9,12,7,13,7,5,13,9,7,6,5,9,4,4,4,11,6,5,4,10,0,5,9,6,4,6,5,1,4,5
21,1,2,3,5,8,4,11,5,3,5,0,5,3,9,2,8,0,3,2,3,5,0,7,7,4,2,1,4,3,5
22,13,3,3,7,10,5,8,8,11,9,7,13,4,3,3,8,9,14,6,6,9,7,0,9,4,7,6,3,6,8
23,7,12,4,8,11,4,2,12,4,6,6,5,10,5,5,9,4,3,3,7,6,7,9,0,4,4,3,3,3,10
24,8,4,3,10,11,4,11,8,8,13,10,6,2,4,3,5,5,8,3,6,4,4,4,4,0,9,5,4,4,3
25,15,6,4,10,4,2,5,10,6,10,6,2,4,5,5,8,2,7,4,8,6,2,7,4,9,0,6,5,5,6
26,3,0,3,9,4,1,3,4,5,4,2,0,5,2,0,6,1,4,0,4,5,1,6,3,5,6,0,4,3,2
27,1,2,0,5,2,4,2,5,3,5,4,1,1,3,4,4,1,4,3,7,1,4,3,3,4,5,4,0,3,0
28,9,5,1,5,6,5,8,6,7,3,2,2,6,4,1,2,5,4,3,4,4,3,6,3,4,5,3,3,0,2
29,13,5,3,7,4,6,9,8,5,5,1,10,7,4,1,5,2,6,5,7,5,5,8,10,3,6,2,0,2,0
